,日期,身分,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額口數,多空淨額契約金額,未平倉多方交易口數,未平倉多方契約金額,未平倉空方交易口數,未平倉空方契約金額,未平倉多空淨額口數,未平倉多空淨額契約金額
575,2016-07-12,外資,34644,60666706,32415,56857814,2229,3808892,78462,137278718,13249,23033416,65213,114245302
576,2016-07-13,自營商,26313,46152510,27026,47409727,-713,-1257216,9982,17271420,13578,23649531,-3596,-6378111
577,2016-07-13,投信,3735,6555695,3489,6038873,246,516821,4463,7844011,36022,63192764,-31559,-55348753
578,2016-07-13,外資,46500,81550442,43947,77147007,2553,4403435,82360,144335430,14218,24783734,68142,119551696
579,2016-07-14,自營商,20678,36365067,20154,35464437,524,900630,10422,18049167,13487,23534126,-3065,-5484959
580,2016-07-14,投信,4310,7585015,5416,9451500,-1106,-1866485,4345,7635103,36997,64960009,-32652,-57324906
581,2016-07-14,外資,34762,61147516,34063,60006526,699,1140990,84580,148479097,15588,27231242,68992,121247855
582,2016-07-15,自營商,24027,42620245,25325,44962944,-1298,-2342700,10830,18971517,15243,26926641,-4413,-7955124
583,2016-07-15,投信,5553,9865624,5212,9165003,341,700621,4332,7677589,36643,64951996,-32311,-57274407
584,2016-07-15,外資,46719,82830585,44219,78531773,2500,4298812,86568,153549588,15085,26628167,71483,126921421
585,2016-07-18,自營商,22258,39898271,20629,36922768,1629,2975502,11452,20314333,14023,24974897,-2571,-4660564
586,2016-07-18,投信,12596,22612751,12073,21407908,523,1204843,4359,7778838,36147,64430858,-31788,-56652020
587,2016-07-18,外資,60308,107647238,63549,113828579,-3241,-6181340,82014,146533112,13815,24615652,68199,121917460
588,2016-07-19,自營商,26767,48131479,23689,42442057,3078,5689422,14505,25951549,14442,25733444,63,218105
589,2016-07-19,投信,12530,22544242,13043,23240613,-513,-696371,4449,7949128,36750,65579547,-32301,-57630419
590,2016-07-19,外資,74118,132599728,76363,137132364,-2245,-4532636,85389,152713754,19211,34370388,66178,118343366
591,2016-07-20,自營商,36058,64629260,38561,69129169,-2503,-4499909,7865,13877822,13604,24110789,-5739,-10232967
592,2016-07-20,投信,1442,2581878,1918,3419890,-476,-838012,4462,7927275,37337,66340202,-32875,-58412927
593,2016-07-20,外資,42511,75838278,42377,75806838,134,31440,74737,132721260,12167,21559488,62570,111161772
594,2016-07-21,自營商,20720,37192550,19183,34438766,1537,2753784,9245,16525560,13479,24162484,-4234,-7636924
595,2016-07-21,投信,358,642331,750,1346583,-392,-704253,4361,7835113,37628,67609819,-33267,-59774706
596,2016-07-21,外資,32753,58821561,32390,58176943,363,644617,76337,137090720,13154,23579941,63183,113510779
597,2016-07-22,自營商,15819,28321768,17062,30540139,-1243,-2218371,8028,14253590,13286,23662299,-5258,-9408709
598,2016-07-22,投信,179,319819,365,652422,-186,-332603,4188,7476551,37641,67204069,-33453,-59727518
599,2016-07-22,外資,28445,50927874,29210,52314149,-765,-1386275,73838,131763282,11398,20304339,62440,111458943
600,2016-07-25,自營商,30899,55007735,28984,51588427,1915,3419308,9592,16981675,12922,22917914,-3330,-5936239
601,2016-07-25,投信,454,811677,1281,2278344,-827,-1466667,4050,7200979,38330,68158231,-34280,-60957252
602,2016-07-25,外資,49025,87287479,49178,87590214,-153,-302735,72959,129663156,10236,18157599,62723,111505557
603,2016-07-26,自營商,17368,30969375,17920,31934813,-552,-965438,9440,16852198,13246,23689451,-3806,-6837253
604,2016-07-26,投信,172,307729,299,535194,-127,-227466,3963,7104914,38370,68797232,-34407,-61692318
605,2016-07-26,外資,40441,72065643,34789,62016872,5652,10048771,78414,140513092,9869,17650232,68545,122862860
606,2016-07-27,自營商,24016,43202947,24390,43867477,-374,-664530,8377,14977092,12579,22525773,-4202,-7548681
607,2016-07-27,投信,486,874753,755,1357077,-269,-482323,3878,6963335,38554,69235090,-34676,-62271755
608,2016-07-27,外資,44590,80220146,47522,85511652,-2932,-5291506,76419,137133163,11158,19988496,65261,117144667
609,2016-07-28,自營商,15629,28088527,16827,30227048,-1198,-2138521,8104,14483245,13480,24134227,-5376,-9650982
610,2016-07-28,投信,133,238752,683,1227153,-550,-988401,3878,6962996,39104,70222762,-35226,-63259766
611,2016-07-28,外資,39356,70721953,35513,63826074,3843,6895879,80742,144882638,11642,20854885,69100,124027753
612,2016-07-29,自營商,17944,32123849,18311,32769533,-367,-645684,8217,14552250,13963,24761221,-5746,-10208971
613,2016-07-29,投信,225,401653,1558,2776368,-1333,-2374715,3652,6494596,40211,71527125,-36559,-65032529
614,2016-07-29,外資,45168,80913039,45993,82413558,-825,-1500520,79225,140804958,11185,19842750,68040,120962208
615,2016-08-01,自營商,19801,35646301,17770,31990991,2031,3655310,9285,16718366,12939,23317790,-3654,-6599424
616,2016-08-01,投信,361,649341,433,781145,-72,-131803,3684,6658606,40315,72889309,-36631,-66230703
617,2016-08-01,外資,37744,67937973,32831,59121949,4913,8816023,85400,154270254,11849,21362930,73551,132907324
618,2016-08-02,自營商,10448,18835451,10097,18195257,351,640194,9387,16852028,12718,22845441,-3331,-5993413
619,2016-08-02,投信,211,380467,64,115314,147,265152,3854,6944210,40338,72704995,-36484,-65760785
620,2016-08-02,外資,22374,40336730,28123,50703798,-5749,-10367069,79638,143404042,12182,21895714,67456,121508328
621,2016-08-03,自營商,23278,41492011,25147,44811787,-1869,-3319776,5954,10580179,11057,19653746,-5103,-9073567
622,2016-08-03,投信,185,329324,1867,3332303,-1682,-3002979,3436,6137577,41603,74344307,-38167,-68206730
623,2016-08-03,外資,44223,78902831,42034,74981595,2189,3921237,81753,145925716,12264,21851584,69489,124074132
624,2016-08-04,自營商,15951,28518019,14013,25038368,1938,3479651,6765,12088096,9972,17785650,-3207,-5697554
625,2016-08-04,投信,411,737539,178,318872,233,418668,3372,6046884,41306,74102710,-37934,-68055826
626,2016-08-04,外資,36453,65182842,38297,68490613,-1844,-3307771,79643,142710595,12019,21505009,67624,121205586
627,2016-08-05,自營商,20438,36945304,19749,35690529,689,1254775,7600,13722396,10168,18317701,-2568,-4595305
628,2016-08-05,投信,594,1071095,1392,2520971,-798,-1449876,3482,6308185,42214,76508393,-38732,-70200208
629,2016-08-05,外資,37297,67408012,33878,61235315,3419,6172697,82553,149431217,11488,20758540,71065,128672677
630,2016-08-08,自營商,17256,31411544,15236,27721746,2020,3689798,9286,16884067,9802,17754946,-516,-870879
631,2016-08-08,投信,596,1086933,298,542690,298,544243,3407,6209122,41841,76284263,-38434,-70075141
632,2016-08-08,外資,31556,57413807,35283,64211775,-3727,-6797968,80255,146127983,13062,23755432,67193,122372551
633,2016-08-09,自營商,11706,21354857,12587,22955435,-881,-1600578,9016,16393749,10460,18956887,-1444,-2563138
634,2016-08-09,投信,419,764510,799,1456919,-380,-692409,3458,6302695,42272,77078527,-38814,-70775832
635,2016-08-09,外資,27821,50733986,25449,46415409,2372,4318578,82184,149653367,12552,22822046,69632,126831321
636,2016-08-10,自營商,20495,37420402,19197,35046598,1298,2373804,10236,18683870,10360,18852650,-124,-168780
637,2016-08-10,投信,210,384114,1037,1897763,-827,-1513649,3353,6132971,42994,78670216,-39641,-72537245
638,2016-08-10,外資,36453,66559691,35687,65172855,766,1386837,83806,153159172,13534,24706440,70272,128452732
639,2016-08-11,自營商,27599,50084783,24469,44394300,3130,5690483,14718,26690809,11708,21173357,3010,5517452
640,2016-08-11,投信,5375,9754416,7288,13179438,-1913,-3425021,3110,5642784,44664,81121710,-41554,-75478926
641,2016-08-11,外資,49512,89887454,52065,94571471,-2553,-4684017,83618,151754260,15885,28810265,67733,122943995
642,2016-08-12,自營商,12850,23437601,14561,26574160,-1711,-3136559,13086,23829844,11748,21351356,1338,2478488
643,2016-08-12,投信,6872,12537655,7246,13169386,-374,-631731,3198,5816777,45126,82283568,-41928,-76466791
644,2016-08-12,外資,40740,74300224,37038,67593586,3702,6706638,88027,160450217,16506,30064025,71521,130386192
645,2016-08-15,自營商,19233,35080894,17144,31238872,2089,3842022,13280,24195583,10137,18407886,3143,5787697
646,2016-08-15,投信,19409,35422787,20209,36673365,-800,-1250578,3338,6071576,46064,83815987,-42726,-77744411
647,2016-08-15,外資,66732,121455351,68677,125272263,-1945,-3816912,89459,162818847,19852,36167324,69607,126651523
648,2016-08-16,自營商,28302,51427613,29561,53736454,-1259,-2308841,11714,21235021,9763,17632861,1951,3602160
649,2016-08-16,投信,16110,29321423,17731,32076380,-1621,-2754957,3239,5851721,47586,85891416,-44347,-80039695
650,2016-08-16,外資,84700,153963563,85405,155406195,-705,-1442632,87781,158668147,18777,33988355,69004,124679792
651,2016-08-17,自營商,21540,39034357,20182,36569652,1358,2464705,4250,7641149,6956,12501581,-2706,-4860432
652,2016-08-17,投信,1716,3114417,3563,6423417,-1847,-3309000,2867,5164040,49349,88887325,-46482,-83723285
653,2016-08-17,外資,44104,79644312,38914,70405108,5190,9239205,77167,138954380,10301,18545107,66866,120409273
654,2016-08-18,自營商,12859,23229496,11524,20820723,1335,2408773,5185,9360164,6676,12042451,-1491,-2682287
655,2016-08-18,投信,841,1521099,714,1290616,127,230483,2915,5270903,49270,89089917,-46355,-83819014
656,2016-08-18,外資,30399,54917568,26801,48416576,3598,6500992,80197,144971031,9717,17560633,70480,127410398
657,2016-08-19,自營商,24287,43802970,24492,44170425,-205,-367455,5820,10402285,7553,13486645,-1733,-3084360
658,2016-08-19,投信,1232,2222955,1607,2878971,-375,-656016,3224,5769670,49954,89397579,-46730,-83627909
659,2016-08-19,外資,50104,90346121,54393,98104895,-4289,-7758775,80474,143972206,14094,25212637,66380,118759569
660,2016-08-22,自營商,17896,31841269,18842,33524063,-946,-1682794,5139,9129918,7919,14059801,-2780,-4929883
661,2016-08-22,投信,88,156858,1794,3194671,-1706,-3037813,2757,4904703,51191,91068697,-48434,-86163994
662,2016-08-22,外資,46415,82593689,40522,72097081,5893,10496609,85771,152545123,13332,23708573,72439,128836550
663,2016-08-23,自營商,14264,25541835,16366,29317346,-2102,-3775511,5393,9674282,10245,18375857,-4852,-8701575
664,2016-08-23,投信,1333,2392700,131,234481,1202,2158219,2930,5264038,50162,90120952,-47232,-84856914
665,2016-08-23,外資,34670,62091418,27218,48754896,7452,13336522,90184,161979386,10280,18459279,79904,143520107
666,2016-08-24,自營商,13667,24525762,13340,23942271,327,583491,4799,8578774,9302,16628650,-4503,-8049876
667,2016-08-24,投信,633,1140241,289,518177,344,622064,3103,5556852,49991,89523725,-46888,-83966873
668,2016-08-24,外資,26840,48164619,30303,54380473,-3463,-6215854,86943,155653519,10597,18966596,76346,136686923
669,2016-08-25,自營商,15005,27079807,17312,31256983,-2307,-4177176,5646,10217989,12462,22572324,-6816,-12354335
670,2016-08-25,投信,948,1715940,125,225573,823,1490367,3250,5895500,49315,89457228,-46065,-83561728
671,2016-08-25,外資,43483,78462393,33268,60059080,10215,18403312,96632,175236928,9954,18043535,86678,157193393
672,2016-08-26,自營商,10398,18860387,9327,16913548,1071,1946839,5427,9830693,11085,20097094,-5658,-10266401
673,2016-08-26,投信,390,708092,48,86991,342,621102,3262,5923792,48985,88956576,-45723,-83032784
674,2016-08-26,外資,20700,37545804,26419,47915794,-5719,-10369990,90626,164522707,9743,17679147,80883,146843560
675,2016-08-29,自營商,23386,42139986,19773,35638878,3613,6501108,6421,11585173,8663,15632306,-2242,-4047133
676,2016-08-29,投信,227,410234,1137,2047514,-910,-1637280,2925,5289570,49558,89620500,-46633,-84330930
677,2016-08-29,外資,40942,73815611,45624,82224874,-4682,-8409263,87948,158990829,11887,21479033,76061,137511796
678,2016-08-30,自營商,14193,25685761,15249,27600454,-1056,-1914692,5883,10604261,9155,16509340,-3272,-5905079
679,2016-08-30,投信,209,379400,129,233186,80,146214,2989,5401123,49542,89522214,-46553,-84121091
680,2016-08-30,外資,28600,51766051,29340,53101435,-740,-1335383,86447,156156748,11200,20219627,75247,135937121
681,2016-08-31,自營商,23244,41863170,24415,43980198,-1171,-2117028,5293,9473701,9755,17475923,-4462,-8002222
682,2016-08-31,投信,499,902295,1233,2215056,-734,-1312761,3044,5464589,50331,90354026,-47287,-84889437
683,2016-08-31,外資,40686,73297566,38376,69116335,2310,4181232,87935,157805780,10489,18809652,77446,138996128
684,2016-09-01,自營商,21188,37835126,20081,35854678,1107,1980448,5846,10422392,9090,16218349,-3244,-5795957
685,2016-09-01,投信,299,533744,1293,2312601,-994,-1778858,2728,4878755,51009,91224300,-48281,-86345545
686,2016-09-01,外資,42151,75259435,43693,78005104,-1542,-2745669,88811,158770226,13016,23251207,75795,135519019
687,2016-09-02,自營商,11686,20881635,11700,20906437,-14,-24802,6958,12391020,10186,18151752,-3228,-5760732
688,2016-09-02,投信,15,26805,198,353743,-183,-326938,2630,4698232,51094,91274099,-48464,-86575867
689,2016-09-02,外資,29536,52793123,27564,49266026,1972,3527098,91034,162554538,13146,23453514,77888,139101024
690,2016-09-05,自營商,14501,26219783,17813,32204127,-3312,-5984344,7102,12834265,13645,24686738,-6543,-11852473
691,2016-09-05,投信,1607,2905522,244,441925,1363,2463597,2963,5370734,50064,90745879,-47101,-85375145
692,2016-09-05,外資,36866,66643375,27555,49830795,9311,16812581,98810,179024821,11234,20331416,87576,158693405
693,2016-09-06,自營商,14792,26972793,15348,27999185,-556,-1026392,7445,13586827,14392,26295955,-6947,-12709128
694,2016-09-06,投信,666,1218126,202,368211,464,849915,3006,5501581,49643,90856500,-46637,-85354919
695,2016-09-06,外資,28902,52700240,26810,48894876,2092,3805365,102097,186779418,12470,22793679,89627,163985739
696,2016-09-07,自營商,19399,35790417,21262,39233919,-1863,-3443502,6916,12758249,15664,28943525,-8748,-16185276
697,2016-09-07,投信,1485,2745253,413,763938,1072,1981316,2997,5546248,48562,89868720,-45565,-84322472
698,2016-09-07,外資,39446,72791102,35732,65957253,3714,6833849,107576,198998497,14366,26557979,93210,172440518
699,2016-09-08,自營商,8830,16312783,7367,13607911,1463,2704873,6458,11895127,13656,25192071,-7198,-13296944
700,2016-09-08,投信,41,75753,331,611423,-290,-535670,2946,5443577,48801,90174380,-45855,-84730803
701,2016-09-08,外資,16366,30235043,23506,43429269,-7140,-13194226,101034,186614693,15325,28291360,85709,158323333
702,2016-09-09,自營商,19452,35554914,15847,28960241,3605,6594673,6824,12420323,10430,18996010,-3606,-6575687
703,2016-09-09,投信,121,220738,1903,3475751,-1782,-3255013,2634,4807321,50270,91752700,-47636,-86945379
704,2016-09-09,外資,31794,58106186,42492,77665494,-10698,-19559308,91505,166941916,16515,30116444,74990,136825472
705,2016-09-10,自營商,18031,32330127,16953,30395511,1078,1934616,6927,12364170,9309,16619435,-2382,-4255265
706,2016-09-10,投信,296,530451,1987,3563182,-1691,-3032730,2394,4286231,51721,92611506,-49327,-88325275
707,2016-09-10,外資,4467,8010457,3662,6567836,805,1442621,92199,165006301,16092,28782806,76107,136223495
708,2016-09-12,自營商,20475,36581405,19659,35120488,816,1460917,7188,12743584,8667,15364627,-1479,-2621043
709,2016-09-12,投信,4558,8143578,5236,9321950,-678,-1178373,2436,4335427,52441,93314841,-50005,-88979414
710,2016-09-12,外資,43206,77201194,45446,81240979,-2240,-4039785,90195,160419234,16237,28862251,73958,131556983
711,2016-09-13,自營商,27292,48584837,25708,45733504,1584,2851333,8459,15019602,8464,15013376,-5,6226
712,2016-09-13,投信,5656,10075512,5776,10260562,-120,-185050,2441,4344402,52566,93568564,-50125,-89224162
713,2016-09-13,外資,51688,92007072,54183,96533134,-2495,-4526062,90173,160460652,18624,33136915,71549,127323737
714,2016-09-14,自營商,18104,32180891,18300,32539830,-196,-358939,10342,18303535,10558,18679685,-216,-376150
715,2016-09-14,投信,6387,11363463,6725,11929126,-338,-565663,2298,4074613,52761,93568843,-50463,-89494230
716,2016-09-14,外資,42789,76083108,42352,75337725,437,745383,88976,157760970,16806,29792644,72170,127968326
717,2016-09-19,自營商,27944,50714870,28877,52445915,-933,-1731045,10423,19019307,11571,21100682,-1148,-2081375
718,2016-09-19,投信,22103,40268694,18726,34021505,3377,6247189,2710,4951328,49796,90955484,-47086,-86004156
719,2016-09-19,外資,87040,158089691,77859,141627295,9181,16462397,99499,181744660,17831,32576074,81668,149168586
720,2016-09-20,自營商,19585,35762752,18411,33609443,1174,2153309,9802,17867274,10151,18466235,-349,-598961
721,2016-09-20,投信,14908,27251165,15572,28378399,-664,-1127234,2693,4906356,50443,91903252,-47750,-86996896
722,2016-09-20,外資,59331,108257644,63517,115996256,-4186,-7738612,103955,189499044,26634,48594427,77321,140904617
723,2016-09-21,自營商,25660,46943459,29263,53586669,-3603,-6643209,5430,9918514,9631,17611681,-4201,-7693167
724,2016-09-21,投信,2856,5227967,2152,3922593,704,1305374,2848,5219658,49556,90836049,-46708,-85616391
725,2016-09-21,外資,42037,76749290,36558,66787352,5479,9961939,85211,156130644,10514,19249154,74697,136881490
726,2016-09-22,自營商,15294,28127160,14403,26477480,891,1649680,6569,12031767,9856,18065340,-3287,-6033573
727,2016-09-22,投信,183,336410,1077,1978887,-894,-1642477,2903,5333286,50505,92797793,-47602,-87464507
728,2016-09-22,外資,34856,64113537,35186,64724582,-330,-611044,85484,157009541,10904,20012872,74580,136996669
729,2016-09-23,自營商,10710,19758927,11510,21237289,-800,-1478361,7080,13037785,11145,20542967,-4065,-7505182
730,2016-09-23,投信,574,1060401,400,737889,174,322512,2980,5503943,50408,93113155,-47428,-87609212
731,2016-09-23,外資,29703,54783702,24501,45189434,5202,9594268,89500,165264365,9569,17653688,79931,147610677
732,2016-09-26,自營商,10576,19393146,12304,22567146,-1728,-3174000,6029,10995641,11823,21596244,-5794,-10600603
733,2016-09-26,投信,294,539297,1341,2455613,-1047,-1916317,2948,5395306,51423,94124172,-48475,-88728866
734,2016-09-26,外資,26801,49162720,28627,52515912,-1826,-3353192,88681,162261060,10622,19419483,78059,142841577
735,2016-09-29,自營商,19551,36190802,22624,41896565,-3073,-5705763,5240,9649043,14003,25864219,-8763,-16215176
736,2016-09-29,投信,1293,2392372,200,370675,1093,2021697,3240,5993965,50623,93662154,-47383,-87668189
737,2016-09-29,外資,43320,80201227,35971,66579639,7349,13621588,94589,174944188,9110,16830539,85479,158113649
738,2016-09-30,自營商,16164,29619305,15961,29234122,203,385183,5850,10640003,14320,26102404,-8470,-15462401
739,2016-09-30,投信,122,223201,1472,2691202,-1350,-2468001,2954,5393309,51687,94379924,-48733,-88986615
740,2016-09-30,外資,39049,71552743,43949,80530183,-4900,-8977441,90805,165744296,10299,18779494,80506,146964802
741,2016-10-03,自營商,12051,22160902,11139,20484216,912,1676686,6253,11450893,13857,25429080,-7604,-13978187
742,2016-10-03,投信,278,511487,95,174339,183,337149,3094,5687896,51644,94952130,-48550,-89264234
743,2016-10-03,外資,30547,56164049,28997,53311954,1550,2852095,92641,170258681,10462,19205465,82179,151053216
744,2016-10-04,自營商,13269,24494838,12392,22872590,877,1622248,7267,13394728,13858,25589620,-6591,-12194892
745,2016-10-04,投信,1454,2688735,526,971936,928,1716799,3769,6972647,51391,95083052,-47622,-88110405
746,2016-10-04,外資,27733,51175902,23500,43364734,4233,7811167,96802,179025159,10305,19034282,86497,159990877
747,2016-10-05,自營商,10667,19698752,11424,21098954,-757,-1400203,5303,9747313,12595,23220175,-7292,-13472862
748,2016-10-05,投信,61,112764,175,323091,-114,-210328,3663,6767075,51399,94964249,-47736,-88197174
749,2016-10-05,外資,23184,42836070,22451,41481645,733,1354425,98243,181436384,11121,20515450,87122,160920934
750,2016-10-06,自營商,12148,22445464,11520,21279632,628,1165832,5844,10767727,12449,22996377,-6605,-12228650
751,2016-10-06,投信,517,957427,136,251491,381,705936,3733,6910581,51088,94583763,-47355,-87673182
752,2016-10-06,外資,28813,53238451,28798,53213996,15,24456,98338,181983305,11021,20370201,87317,161613104
753,2016-10-07,自營商,6145,11363000,7035,13012879,-890,-1649878,6669,12280066,14074,25985367,-7405,-13705301
754,2016-10-07,投信,100,185086,159,294000,-59,-108915,3593,6647090,51007,94372556,-47414,-87725466
755,2016-10-07,外資,21467,39716882,20610,38126050,857,1590832,100800,186414062,12649,23359571,88151,163054491
756,2016-10-11,自營商,25662,47375823,24712,45633099,950,1742724,7155,13089335,13661,25054295,-6506,-11964960
757,2016-10-11,投信,2593,4762292,3764,6898387,-1171,-2136095,3248,5968528,51833,95244022,-48585,-89275494
758,2016-10-11,外資,62365,115225380,68101,125807739,-5736,-10582359,103884,190812561,21202,38911172,82682,151901389
759,2016-10-12,自營商,17489,32267833,16461,30337502,1028,1930331,6182,11393778,11917,22011828,-5735,-10618050
760,2016-10-12,投信,3591,6629166,2958,5442615,633,1186552,2977,5512183,50929,94284601,-47952,-88772418
761,2016-10-12,外資,41123,75762539,32541,59994778,8582,15767761,110838,205104953,19136,35383823,91702,169721130
762,2016-10-13,自營商,19335,35624667,15031,27688564,4304,7936103,10513,19289901,11942,21921820,-1429,-2631919
763,2016-10-13,投信,5609,10337101,5675,10428477,-66,-91376,3119,5739001,51137,94052328,-48018,-88313327
764,2016-10-13,外資,42779,78783193,53379,98342660,-10600,-19559467,105110,193254299,24413,44861680,80697,148392619
765,2016-10-14,自營商,14720,27025135,15079,27684230,-359,-659095,10771,19699396,12739,23306142,-1968,-3606746
766,2016-10-14,投信,5567,10219238,6470,11855192,-903,-1635954,2988,5475770,51909,95109474,-48921,-89633704
767,2016-10-14,外資,44594,81888440,45882,84276775,-1288,-2388335,103073,188800783,23658,43315955,79415,145484828
768,2016-10-17,自營商,31369,57259179,27689,50507282,3680,6751897,12665,23183675,11739,21455831,926,1727844
769,2016-10-17,投信,23957,43746827,24037,43803095,-80,-56268,2967,5432866,51968,95098213,-49001,-89665347
770,2016-10-17,外資,97927,178680180,100279,183085458,-2352,-4405278,109666,200694176,32807,60076157,76859,140618019
771,2016-10-18,自營商,25638,47107874,27905,51273015,-2267,-4165142,12180,22401532,13741,25258789,-1561,-2857257
772,2016-10-18,投信,13775,25319980,12014,22021801,1761,3298179,3055,5621026,50295,92525250,-47240,-86904224
773,2016-10-18,外資,70368,129217752,65694,120719507,4674,8498245,110510,203300944,28721,52855834,81789,150445110
774,2016-10-19,自營商,32025,59327259,35227,65275634,-3202,-5948375,3816,7032473,12016,22205410,-8200,-15172937
775,2016-10-19,投信,2598,4808411,1241,2297647,1357,2510763,3232,5978446,49151,90919147,-45919,-84940701
776,2016-10-19,外資,44524,82405886,39148,72484757,5376,9921129,95396,176408024,11427,21114320,83969,155293704
777,2016-10-20,自營商,13259,24582698,13312,24683872,-53,-101174,4277,7908307,12278,22758725,-8001,-14850418
778,2016-10-20,投信,548,1016726,224,414770,324,601957,3243,6016950,48838,90613639,-45595,-84596689
779,2016-10-20,外資,30340,56259793,28785,53372613,1555,2887180,97625,181073012,12322,22838109,85303,158234903
780,2016-10-21,自營商,14834,27535431,15815,29344775,-981,-1809344,4371,8073740,13142,24329758,-8771,-16256018
781,2016-10-21,投信,236,439095,158,293185,78,145910,3260,6040024,48778,90375520,-45518,-84335496
782,2016-10-21,外資,33847,62830491,32474,60267009,1373,2563482,99541,184367258,12816,23722153,86725,160645105
783,2016-10-24,自營商,12026,22363175,11334,21077662,692,1285513,4914,9122963,12834,23875604,-7920,-14752641
784,2016-10-24,投信,281,523087,28,52017,253,471070,3319,6179210,48584,90453317,-45265,-84274107
785,2016-10-24,外資,32266,60014495,28973,53884655,3293,6129840,102465,190705919,12146,22590018,90319,168115901
786,2016-10-25,自營商,14552,27195116,15064,28175497,-512,-980381,6219,11634388,13856,25964797,-7637,-14330409
787,2016-10-25,投信,990,1856034,314,588677,676,1267357,3160,5924908,47749,89529044,-44589,-83604136
788,2016-10-25,外資,31070,58091915,28071,52473565,2999,5618350,105662,198057305,12554,23516405,93108,174540900
789,2016-10-26,自營商,12006,22424860,12681,23683237,-675,-1258377,3383,6289449,11769,21954625,-8386,-15665176
790,2016-10-26,投信,41,76553,513,957641,-472,-881088,3110,5805656,48171,89925269,-45061,-84119613
791,2016-10-26,外資,22362,41774178,28556,53347706,-6194,-11573528,100396,187362110,13468,25119297,86928,162242813
792,2016-10-27,自營商,17159,31907416,16067,29874766,1092,2032650,3531,6534114,10888,20209111,-7357,-13674997
793,2016-10-27,投信,151,280613,908,1686797,-757,-1406184,2693,5002433,48511,90113710,-45818,-85111277
794,2016-10-27,外資,34824,64778973,38951,72450057,-4127,-7671084,96916,179976924,14176,26311021,82740,153665903
795,2016-10-28,自營商,10675,19810676,10634,19732951,41,77725,3373,6235536,10296,19092533,-6923,-12856997
796,2016-10-28,投信,208,386684,220,408210,-12,-21526,2676,4966049,48506,90017142,-45830,-85051093
797,2016-10-28,外資,26504,49208018,26722,49611425,-218,-403408,96548,179123330,13990,25941510,82558,153181820
798,2016-10-31,自營商,20748,38332966,21566,39859957,-818,-1526991,3172,5865683,10744,19936842,-7572,-14071159
799,2016-10-31,投信,1056,1956498,353,651744,703,1304754,2677,4970585,47804,88762175,-45127,-83791590
800,2016-10-31,外資,40390,74632238,39709,73332808,681,1299430,95438,177159684,12781,23710650,82657,153449034
801,2016-11-01,自營商,15153,28077002,13344,24714999,1809,3362003,4290,7937362,10041,18618787,-5751,-10681425
802,2016-11-01,投信,415,769850,178,329978,237,439873,2716,5039745,47606,88337416,-44890,-83297671
803,2016-11-01,外資,25804,47814782,28998,53720497,-3194,-5905715,92871,172281790,13516,25059709,79355,147222081
804,2016-11-02,自營商,26880,49324657,25226,46294938,1654,3029719,4284,7827752,8341,15261699,-4057,-7433947
805,2016-11-02,投信,64,117406,1559,2855142,-1495,-2737735,2589,4741955,48974,89700532,-46385,-84958577
806,2016-11-02,外資,36583,67153707,44686,82041961,-8103,-14888254,87488,160195640,16505,30208992,70983,129986648
807,2016-11-03,自營商,19379,35314155,18862,34381956,517,932200,3468,6285815,7171,13018776,-3703,-6732961
808,2016-11-03,投信,251,458350,1039,1889298,-788,-1430947,2503,4549388,49676,90290619,-47173,-85741231
809,2016-11-03,外資,33101,60339553,38700,70543861,-5599,-10204307,84565,153654152,19321,35091550,65244,118562602
810,2016-11-04,自營商,11059,20051143,10057,18229237,1002,1821907,3577,6468844,6337,11472601,-2760,-5003757
811,2016-11-04,投信,110,199617,198,358915,-88,-159298,2468,4473442,49729,90138350,-47261,-85664908
812,2016-11-04,外資,28155,51069980,28534,51755983,-379,-686003,84175,152528229,19424,35182258,64751,117345971
813,2016-11-07,自營商,17573,32203260,17672,32411418,-99,-208158,4106,7527865,6945,12757888,-2839,-5230023
814,2016-11-07,投信,2198,4039254,474,870699,1724,3168555,2852,5245322,48389,88996252,-45537,-83750930
815,2016-11-07,外資,30323,55595762,26483,48557445,3840,7038317,86617,159239368,18096,33246809,68521,125992559
816,2016-11-08,自營商,16886,31064029,15861,29181837,1025,1882192,5303,9752386,7063,13012194,-1760,-3259808
817,2016-11-08,投信,2356,4338088,1832,3363306,524,974782,2911,5369547,47924,88391947,-45013,-83022400
818,2016-11-08,外資,30735,56545013,30775,56623779,-40,-78766,87311,160977572,18605,34280845,68706,126696727
819,2016-11-09,自營商,70204,127304053,69519,126157916,685,1146138,6822,12154647,7967,14200096,-1145,-2045449
820,2016-11-09,投信,5160,9405224,9207,16647592,-4047,-7242367,2396,4277256,51456,91826304,-49060,-87549048
821,2016-11-09,外資,143771,260827510,146899,266556995,-3128,-5729485,86161,153729784,20697,36914965,65464,116814819
822,2016-11-10,自營商,19858,36388701,17824,32675738,2034,3712963,7145,13083861,6187,11334588,958,1749273
823,2016-11-10,投信,8487,15569598,5385,9848641,3102,5720957,2539,4659509,48497,88955402,-45958,-84295893
824,2016-11-10,外資,53477,98018861,51787,94956644,1690,3062217,86329,158328031,19489,35737420,66840,122590611
825,2016-11-11,自營商,30723,55211797,31046,55791356,-323,-579559,7675,13736516,6790,12154401,885,1582115
