,日期,身分,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額口數,多空淨額契約金額,未平倉多方交易口數,未平倉多方契約金額,未平倉空方交易口數,未平倉空方契約金額,未平倉多空淨額口數,未平倉多空淨額契約金額
48,2015-10-22,自營商,11990,20598379,12565,21593168,-575,-994789,2880,4920367,6948,11919609,-4068,-6999242
49,2015-10-22,投信,195,335590,329,565719,-134,-230129,3965,6815767,9528,16378606,-5563,-9562839
50,2015-10-22,外資,27551,47392913,22265,38301664,5286,9091248,38781,66650367,14243,24474858,24538,42175509
51,2015-10-23,自營商,16864,29355521,15406,26815685,1458,2539836,3861,6683258,6557,11378640,-2696,-4695382
52,2015-10-23,投信,306,531987,1691,2938799,-1385,-2406812,2578,4482572,9524,16560290,-6946,-12077718
53,2015-10-23,外資,25143,43760284,27369,47637300,-2226,-3877016,37382,64987114,15064,26179084,22318,38808030
54,2015-10-26,自營商,12347,21565295,10867,18981500,1480,2583794,4437,7720919,5684,9912531,-1247,-2191612
55,2015-10-26,投信,308,538233,143,249670,165,288564,2622,4579572,9411,16437242,-6789,-11857670
56,2015-10-26,外資,20433,35694845,19574,34186507,859,1508338,38829,67812511,15462,26988365,23367,40824146
57,2015-10-27,自營商,16219,28189473,15333,26652291,886,1537181,5381,9328078,5813,10094553,-432,-766475
58,2015-10-27,投信,156,271099,288,500683,-132,-229583,2621,4557395,9542,16591630,-6921,-12034235
59,2015-10-27,外資,24668,42873543,27122,47135579,-2454,-4262036,37993,66057873,17234,29947283,20759,36110590
60,2015-10-28,自營商,19560,33876166,19802,34293115,-242,-416949,5301,9130282,6016,10383429,-715,-1253147
61,2015-10-28,投信,268,463423,401,693505,-133,-230082,2504,4325910,9565,16524494,-7061,-12198584
62,2015-10-28,外資,27037,46834312,29737,51502214,-2700,-4667901,35488,61307875,17578,30344769,17910,30963106
63,2015-10-29,自營商,20977,36051255,20635,35471746,342,579509,6117,10427099,6485,11071730,-368,-644631
64,2015-10-29,投信,228,391547,393,674618,-165,-283071,2531,4326451,9758,16680294,-7227,-12353843
65,2015-10-29,外資,36064,62007579,35341,60770389,723,1237190,37547,64174281,19038,32516066,18509,31658215
66,2015-10-30,自營商,21129,36131267,22337,38191029,-1208,-2059762,4528,7730450,5952,10189460,-1424,-2459010
67,2015-10-30,投信,267,456619,448,765809,-181,-309191,2470,4233566,9875,16925740,-7405,-12692174
68,2015-10-30,外資,42292,72308676,39661,67815653,2631,4493023,40020,68586439,18615,31877658,21405,36708781
69,2015-11-02,自營商,16132,27613712,15301,26182086,831,1431626,5240,8969152,5909,10137042,-669,-1167890
70,2015-11-02,投信,164,281182,187,320467,-23,-39285,2493,4281465,9916,17029728,-7423,-12748263
71,2015-11-02,外資,31193,53385747,30521,52228919,672,1156829,40466,69489092,18393,31560013,22073,37929079
72,2015-11-03,自營商,20989,36523136,21822,37983366,-833,-1460229,5060,8793190,6568,11450192,-1508,-2657002
73,2015-11-03,投信,397,691222,194,337965,203,353256,2562,4467643,9768,17033459,-7206,-12565816
74,2015-11-03,外資,34200,59535896,30328,52801752,3872,6734144,42329,73810476,16124,28087337,26205,45723139
75,2015-11-04,自營商,30625,54169230,28356,50172634,2269,3996596,6915,12251226,6175,10968384,740,1282842
76,2015-11-04,投信,346,612376,389,689964,-43,-77588,2538,4508612,9767,17350222,-7229,-12841610
77,2015-11-04,外資,45570,80641263,48483,85800041,-2913,-5158778,42015,74642314,18429,32705163,23586,41937151
78,2015-11-05,自營商,12676,22479082,12386,21959444,290,519638,6305,11155531,5336,9470058,969,1685473
79,2015-11-05,投信,222,393821,332,589104,-110,-195283,2516,4464526,9865,17504770,-7349,-13040244
80,2015-11-05,外資,27335,48476821,29797,52843467,-2462,-4366646,39807,70647383,18812,33346813,20995,37300570
81,2015-11-06,自營商,31327,54737255,30325,53028758,1002,1708497,7835,13582232,6110,10622804,1725,2959428
82,2015-11-06,投信,269,468609,797,1389138,-528,-920529,2334,4056161,10249,17811026,-7915,-13754865
83,2015-11-06,外資,51906,90750184,57234,100102713,-5328,-9352528,37987,66030497,22567,39181368,15420,26849129
84,2015-11-09,自營商,26686,46230633,25840,44768936,846,1461697,9202,15843164,6515,11241708,2687,4601456
85,2015-11-09,投信,268,464435,617,1066745,-349,-602310,2213,3818807,10449,18030922,-8236,-14212115
86,2015-11-09,外資,47576,82466327,47105,81625233,471,841094,37608,64899546,21782,37546393,15826,27353153
87,2015-11-10,自營商,22939,39227334,22190,37945200,749,1282134,11180,19042703,7696,13130583,3484,5912120
88,2015-11-10,投信,205,350779,680,1161844,-475,-811065,2059,3513930,10770,18380207,-8711,-14866277
89,2015-11-10,外資,37436,64022510,39116,66900116,-1680,-2877607,35712,60942711,21686,36966982,14026,23975729
90,2015-11-11,自營商,35206,59510619,34030,57544992,1176,1965627,12775,21365722,7986,13371740,4789,7993982
91,2015-11-11,投信,328,553503,683,1150093,-355,-596590,2003,3356200,11078,18562162,-9075,-15205962
92,2015-11-11,外資,49320,83404452,50393,85251036,-1073,-1846584,36252,60727983,23624,39538606,12628,21189377
93,2015-11-12,自營商,22575,37967326,20627,34674647,1948,3292679,13389,22604148,6517,11008821,6872,11595327
94,2015-11-12,投信,2269,3814771,2476,4160046,-207,-345275,1930,3264312,11210,18961494,-9280,-15697182
95,2015-11-12,外資,45321,76207359,42245,71045964,3076,5161395,37254,62992449,21374,36101577,15880,26890872
96,2015-11-13,自營商,28091,47078390,30796,51606055,-2705,-4527666,12433,20730231,8317,13885438,4116,6844793
97,2015-11-13,投信,2900,4853354,2919,4882513,-19,-29159,1933,3230001,11199,18714113,-9266,-15484112
98,2015-11-13,外資,54445,91246928,56413,94535283,-1968,-3288355,38067,63594826,24300,40554543,13767,23040283
99,2015-11-16,自營商,26891,44453153,26083,43097964,808,1355189,14133,23380427,9152,15154013,4981,8226414
100,2015-11-16,投信,4107,6795028,4066,6724783,41,70245,1931,3199839,11163,18499349,-9232,-15299510
101,2015-11-16,外資,54513,90117443,51128,84535784,3385,5581660,39905,66113963,22248,36821669,17657,29292294
102,2015-11-17,自營商,38312,64715838,37567,63467234,745,1248605,12750,21467833,7050,11880588,5700,9587245
103,2015-11-17,投信,3957,6692400,3507,5928060,450,764340,2013,3395215,10780,18181793,-8767,-14786578
104,2015-11-17,外資,59520,100564872,58253,98416740,1267,2148132,44675,75337387,26024,43849055,18651,31488332
105,2015-11-18,自營商,33822,56664344,35383,59295319,-1561,-2630974,3572,5870928,4792,7921985,-1220,-2051057
106,2015-11-18,投信,594,995944,735,1228265,-141,-232321,2036,3371616,10884,18023904,-8848,-14652288
107,2015-11-18,外資,38157,63900936,41661,69765607,-3504,-5864671,33421,55323036,17219,28460930,16202,26862106
108,2015-11-19,自營商,23004,38594692,21517,36100544,1487,2494148,4383,7361004,4240,7150016,143,210988
109,2015-11-19,投信,754,1269627,240,402875,514,866752,2243,3789324,10571,17858647,-8328,-14069323
110,2015-11-19,外資,44287,74229639,41230,69136176,3057,5093463,34515,58284031,14831,24999123,19684,33284908
111,2015-11-20,自營商,16929,28558375,16810,28350987,119,207388,4732,7947213,4462,7522012,270,425201
112,2015-11-20,投信,206,347385,138,232801,68,114584,2313,3905732,10541,17799529,-8228,-13893797
113,2015-11-20,外資,28050,47310185,30381,51239152,-2331,-3928967,33243,56109680,16037,27023444,17206,29086236
114,2015-11-23,自營商,17856,30191861,16977,28696286,879,1495575,5894,9954750,4779,8093884,1115,1860866
115,2015-11-23,投信,315,533391,216,365140,99,168251,2378,4033564,10507,17821969,-8129,-13788405
116,2015-11-23,外資,33312,56308751,32334,54656113,978,1652638,34857,59097675,17154,29040773,17703,30056902
117,2015-11-24,自營商,25482,42941789,28386,47833265,-2904,-4891476,5512,9220118,7198,12082050,-1686,-2861932
118,2015-11-24,投信,194,326573,447,751880,-253,-425306,2341,3933348,10718,18008380,-8377,-14075032
119,2015-11-24,外資,39442,66476479,38608,65080439,834,1396040,35387,59428283,16930,28387705,18457,31040578
120,2015-11-25,自營商,22727,37995432,22194,37095770,533,899662,4704,7846919,6017,10077005,-1313,-2230086
121,2015-11-25,投信,89,148977,282,471382,-193,-322405,2256,3782861,10811,18127882,-8555,-14345021
122,2015-11-25,外資,36424,60895366,35279,58977799,1145,1917566,35316,59187089,15583,26071654,19733,33115435
123,2015-11-26,自營商,19498,33084612,19072,32366535,426,718077,5029,8510109,5903,10025188,-874,-1515079
124,2015-11-26,投信,532,903599,221,375162,311,528436,2229,3788854,10470,17796904,-8241,-14008050
